"Auto-kovrik.com.ua - заказ в интернет-магазине автомобильных ковриков";"Интернет магазины";"Интернет-магазин auto-kovrik.com.ua занимается оптовой продаже различных автомобильных аксесcуаров наивысшего качества. <br /><p>Наши преимущества:<br /><p>u2014 Раскомплектовка продукции и ее поштучная реализация.<br /><p>u2014 Качественная консультация от наших менеджеров.<br /><p>u2014 Самый большой ассортимент автомобильных ковриков от представленных брендов TM Rezaw-Plast, TM Petex, TM Doma.<br /><p>u2014 Абсолютно бесплатная доставка товара по всей Украине. Оплачивается только стоимость,нет никаких скрытых затрат, например за обратную доставку денег.<br /><p>u2014 Гарантированный возврат товара в течении 14 дней (Согласно 9 статьи Закона о Защите прав потребителя).<br /><p>u2014 Интернет-магазин работает с 10.00 до 18.00. Выходной день - Воскресенье.<br /><p>u2014 Отправка товара u00abНовой почтойu00bb каждый день в 16 00. Выходной день u2013 Воскресенье.<br /><p><br /><p>Вознаграждение за подтвержденный заказ или запрос обратного звонка.<br /><p>Гео - Украина<br /><p>Запрещенные источники трафика - спам-рассылки, порно, мотивированный";"2013-09-03"
"AXA Страхование - заявка на расчет стоимости Автоцивилки (ОСАГО)";"Интернет магазины";"Вознаграждение за отправленную заявку на полис Автогражданки (ОСАГО) с корректными данными:<br /><p>имя, фамилия, телефон, электронная почта.<br /><p>Выплата - 40 грн. (160 рублей).<br /><p>Гео - Украина.<br /><p>Холд заявок - 10 дней.<br /><p><b>Запрещенные источники трафика:</b><br /><p>PopUp форматы<br /><p>Контекстная реклама на бренд<br /><p>ClickUnder<br /><p>SMS-рассылки<br /><p>Push реклама<br /><p>Toolbar реклама<br /><p>Мотивированный трафик<br /><p>Мотивированный трафик (Cash)<br /><p>Adult - трафик";"2013-09-03"
"Babyangel - интернет-магазин детских товаров ";"Интернет магазины";"Вознаграждение за подтвержденный и оплаченный заказ - 4% от суммы заказа.<br /><p><b>Холд - 20 дней.</b><br /><p><b>Гео - Украина.</b>";"2013-09-03"
"Batuta.com.ua - социальная сеть любителей активного отдыха";"Игры";"";"2013-09-03"
"Bazashin.com.ua - заказ в интернет-магазине шин";"Интернет услуги";"Оплачивается заказ товара на сайте ";"2013-09-03"
"Bellezza заказ в интернет-магазине женской одежды";"Интернет магазины";"Вознаграждение за подтвержденный и оплаченный заказ";"2013-09-03"
"Berghoff.bineks.ua - заказ в интернет-магазине посуды";"Интернет магазины";"<b>Интернет-магазин berghoff.bineks.ua</b> предлагает посуду высокого швейцарского качества компании BERGHOFF.<br /><p><br />Посуда компании BERGHOFF имеет целый ряд преимуществ: долговечность, высокие антикоррозийные свойства, устойчивость к деформации. Соответствуют самым высоким токсикологическим и гигиеническим нормам.<br /><p><br />Пища приготовленная в посуде BERGHOFF не изменяет свой вкус и цвет. И даже после долгих лет использования посуда BERGHOFF не теряет своих качеств и привлекательного вида.<br /><p><br />Приобрести посуду в магазине вы можете по разумной цене, т.к. Berghoff.bineks.ua работает с непосредственным производителем компании BERGHOFF в Украине.<br /><p><br /><br>Вознаграждение за подтвержденный и оплаченный заказ<br /><p><br /><br>Гео: Украина<br /><p><br /><br>Запрещенные источники трафика: порно, спам-рассылки, мотивированный.";"2013-09-03"
"Big Business для iPad";"Обучение";"Вознаграждение за инсталляцию на iPad.<br />Запрещен мотивированный трафик, контекстная реклама, контекстная реклама на бренд.";"2013-09-03"
"Bilink.ua ТВ пакет \"Расширенный\"";"Интернет магазины";"Вознаграждение за подключение к bilink.ua и пополнение счета в личном кабинете от 49 грн.<br />Холд - 10 дней.";"2013-09-03"
"Bodo - заказ подарков-впечатлений";"Обучение";"Вознаграждение за подтвержденный заказ.<br /><p>Выплата - 64 грн. (256 рублей).";"2013-09-03"
"Carlo Pazolini - интернет-магазин обуви и аксессуаров";"Финансы";"Вознаграждение за оплаченный заказ.<br /><p>Гео - Украина<br /><p>Холд - 35 дней<br /><p><b>Запрещенные источники трафика:</b><br /><p>";"2013-09-03"
"City Business School - заявка на курс Mini MBA";"Интернет магазины";"Зарегистрируйтесь на курс Mini MBA Professional сейчас с 50% скидкой!<br /><p>Вознаграждение за подтвержденную заявку на регистрацию на дистанционный курс Mini MBA Professional, содержащую корректные данные:<br /><p>Имя<br /><p>Номер телефона<br /><p>Адрес электронной почты<br /><p>Выплата - 220 грн. (890 рублей).<br /><p>Гео - Украина.";"2013-09-03"
"Coffee-market.com.ua - заказ в интернет-магазине кофе";"Игры";"Вознаграждение за подтвержденный и оплаченный заказ.";"2013-09-03"
"D&Y Бизнес-тренинги и обучающие семинары";"Интернет магазины";"Вознаграждение за оплаченную заявку на тренинги и семинары.<br />Холд - 15 дней.";"2013-09-03"
"Dedal - заявка на просчет стоимости КАСКО";"Игры";"Оплачивается корректно заполненная заявка на просчет стоимости КАСКО.<br><br />Запрещены: спам, мотивированный трафик, порно-трафик.<br><br />Холд - до 30 дней";"2013-09-03"
"Denshi Tabaco - электронные сигареты";"Инет-магазины одежды,косметики";"Денши Табако - является известным мировым брендом из Японии, который занимается выпуском электронных сигарет высочайшего качества и аксессуарами к ним. Denshi Tabaco уже больше 5 лет занимает лидирующие позиции на рынке э-сигарет.<br /><p><br />Обладателям электронной сигареты больше не нужно отказываться от привычного курения, или экспериментировать с никотиновыми пластырями или жвачками. Вы можете купить электронную сигарету и наслаждаться тем же табачным или новыми вкусами с меньшим вредом и риском для своего организма, чем от обычных сигарет. При правильном использовании, электронная сигарета Denshi Tabaco, поможет постепенно избавить от никотиновой зависимости и навсегда бросить курить.<br /><p><br />Вознаграждение за подтвержденный и оплаченный заказ.<br />Гео: Украина<br />Холд заказов: 20 дней<br />Запрещенные источники трафика: порно, спам-рассылки, мотивированный трафик.";"2013-09-03"
"Destiny Sphere - браузерная мультиплеерная игра";"Обучение";"Первая в мире большая браузерная мультиплеерная игра, клиентская часть которой целиком выполнена в Macromedia Flash. Опираясь на технику, магию и силы живой природы игроки ведут борьбу за политическое, военное и экономическое влияние в искусственном космическом мире колец. Кажущаяся незамысловатость сюжетной линии противостояния трех рас скрывает за собой огромное многообразие игровых возможностей, стратегий и тактик развития. За 9 лет своего непрерывного развития игра собрала одно из наиболее замечательных игровых сообществ рунета.<br /><p><br /><p>Вознаграждение за регистрацию в игре - 3,75 грн (15 руб.).<br /><p>Гео: Россия, Украина.";"2013-09-03"
"DogTag - жетоны-адресники для домашних животных";"Игры";"Вознаграждение за подтвержденный заказ.";"2013-09-03"
"DRAGONA - регистрация в online mmorpg игре";"Инет-магазины одежды,косметики";"DRAGONA - многопользовательская ролевая онлайн-игра, в которой игрокам предстоит сражаться друг с другом, управляя воинами-драгонами, u2014 это воинами, наделенные силой драконов, имеющие безграничные возможности.<br /><br /><br /><p><b>Выплата: </b>за активного игрока <b>25 грн.(100 руб.)</b><br /><br /><p><b>Холд: </b>до 30 дней<br><br /><p><b>Запрещенные источники трафика: </b> контекстная реклама, соц.сети (группы/паблики), мотивированный.<br /><p><b>Гео: </b>СНГ<br>";"2013-09-03"
"Elleonor.ru - заказ в интернет-магазине косметики";"Интернет магазины";"Вознаграждение за подтвержденный и оплаченный заказ товара в интернет-магазине ellenor.ua.<br /><p><b>Гео - Россия.<br /><p>Запрещенные виды трафика:</b><br /><p>ClickUnder<br /><p>Трафик из приложений/игр в соц.сетях<br /><p>Тизерные сети<br /><p>SMS-рассылки<br /><p>Push реклама<br /><p>Toolbar реклама";"2013-09-03"
"English Prime - заявка в школу английского языка ";"Финансы";"Вознаграждение за заявку на пробное занятие с корректными данными - имя, телефон, по которому можно связаться, e-mail.<br /><p>Выплата - 25 грн. (100 рублей).<br /><p>Гео - <b>только Киев</b><br /><p>Проверка источников трафика по требованию.<br /><p>Запрещены - спам, порно, мотивированный трафик.";"2013-09-03"
"Escilon - браузерная онлайн игра";"Финансы";"Почувствуй себя дикарём u2013 окунись в мир первобытных людей! Собирай ресурсы, делай из них мази, одежду и оружие себе и другим! Создай свое племя и приведи его к победе в Лабиринте, захвати с соплеменниками Форт! Пройди квесты и стань настоящим мастером на все руки!<br /><p>Вознаграждение за привлечение активного игрока (пользователь зарегистрировался, прошел начальную локацию в игре и осуществил повторный вход не ранее чем через сутки после регистрации).<br /><p>Гео: СНГ.<br /><p>Запрещенные источники трафика: порно, спам-рассылки, мотивированный трафик.<br /><p>Холд конверсии: 10 дней.";"2013-09-03"
"Fame.ua - регистрация+заказ в интернет-магазине одежды (UA)";"Финансы";"Регистрация на сайте Fame.ua.<br /><p>Оплачивается корректно оформленная регистрация с подтвержденным email адресом + фиксированная сумма за оплаченный заказ.<br /><br /><p><b>Вознаграждение за регистрацию</b> - 5 грн.(20 руб.)<br /><p><b>Вознаграждение за выполненный заказ</b> - 22 грн.(88 руб.)<br />Заказ привязывается к зарегистрированному пользователю, а не последнему источнику.<br /><br /><p><b>Холд</b> -  10 дней (подписка), и 28дней с момента оформления заказа.<br><br /><p><br /><ul><br /><li><b>Запрещенные источники трафика</b><br /><li>Контекстная реклама</li><br /><li>Контекстная реклама на бренд</li><br /><li>Несанкационированные email рассылки</li><br /><li><u>Мотивированный трафик</u></li><br /><li>Редиректы, дорвеи</li><br /></ul><br /><br /><p><p>Необходимо предоставить источники трафика по запросу.<br /><p>Сверка по конверсиям происходит раз в 7-10 дней";"2013-09-03"
"Fame.ua private - регистрация на сайте";"Инет-магазины одежды,косметики";"Регистрация на сайте Fame.ua.<br />Оплачивается корректно оформленная регистрация с подтвержденным email адресом.<br />Холд - 10 дней.<br><br />Запрещенные источники трафик<br><br /><ul><br /><li>Контекстная реклама</li><br /><li>Контекстная реклама на бренд</li><br /><li>Несанкационированные email рассылки</li><br /><li><b>Мотивированный трафик</b></li><br /><li>Редиректы, дорвеи</li><br /></ul><br><br />Необходимо предоставить источники трафика по запросу<br><br />Сверка по конверсиям происходит раз в 7-10 дней";"2013-09-03"
"Finline - финансовый супермаркет (UA)";"Инет-магазины одежды,косметики";"Вознаграждение за подтвержденные заявки на получение кредита наличными или оформление кредитной карты.<br /><p><b>Выплата увеличена с 29.07 - 19 грн. (76,5 рублей)!</b><br /><p>Запрещенные виды трафика:<br /><p>- Мотивированный трафик<br /><p>- PopUp реклама<br /><p>- Контекстная реклама<br /><p>- Контекстная реклама на бренд<br /><p>- Adult - трафик<br /><p>- Мотивированный трафик (Cash)<br /><p>- Push реклама.<br /><p/><br /> Проверка источников трафика по требованию.<br /><p>География - Украина.<br /><p/>";"2013-09-03"
"Finline - финансовый супермаркет private";"Интернет магазины";"Вознаграждение за подтвержденные заявки на получение кредита наличными или оформление кредитной карты.<br /><p>Запрещенные виды трафика:<br /><p>- Мотивированный трафик<br /><p>- PopUp реклама<br /><p>- Контекстная реклама<br /><p>- Контекстная реклама на бренд<br /><p>- Adult - трафик<br /><p>- Мотивированный трафик (Cash)<br /><p>- Push реклама.<br /><p/><br /> Проверка источников трафика по требованию.<br /><p>География - Украина.<br /><p/>";"2013-09-03"
"Finline Private";"Интернет магазины";"Вознаграждение за подтвержденные заявки на получение кредита наличными или оформление кредитной карты.<br /><p><b>Выплата увеличена с 29.07 - 19 грн. (76,5 рублей)!</b><br /><p>Запрещенные виды трафика:<br /><p>- Мотивированный трафик<br /><p>- PopUp реклама<br /><p>- Контекстная реклама<br /><p>- Контекстная реклама на бренд<br /><p>- Adult - трафик<br /><p>- Мотивированный трафик (Cash)<br /><p>- Push реклама.<br /><p/><br /> Проверка источников трафика по требованию.<br /><p>География - Украина.<br /><p/>";"2013-09-03"
"Florange Shop - заказ в интернет-магазине белья (UA)";"Интернет магазины";"Вознаграждение за подтвержденный и оплаченный заказ.";"2013-09-03"
"FootyBall - заявки на образовательную детскую программу";"Интернет магазины";"FootyBall - Первый и единственный футбольный клуб в Украине для дошкольников<br /><p>Вознаграждение за подтвержденную заявку с корректными контактными данными.<br /><p>Холд заявок - 5 дней.<br /><p>Гео - Киев и Киевская область.<br /><p>Запрещенные источники трафика - порно, спам-рассылки, мотивированный, попап и кликандер.";"2013-09-03"
"Forever Living Products Ukraine";"Интернет магазины";"Форевер Ливинг Продактс u2014 самая большая компания в мире по выращиванию, производству и распространению продукции из Алоэ Вера. Компания контролирует весь цикл производства u2014 от посадки растения до изготовления конечной продукции.<br />Наш интернет-магазин "Forever Living Products Ukraine" является официальным дистрибьютором  и предоставляет продукцию компании.";"2013-09-03"
"Frenchcorner.ru - заказ в интернет-магазине модной женской и детской одежды из Франции";"Финансы";"<b>Frenchcorner.ru</b> - интернет-магазин по продаже женской и детской брендовой одежды из Франции.<br /><br>Наши преимущества: <br /><br>- бесплатная доставка по Москве( от определенной суммы) ,<br /><br>- бесплатная примерка, доставка в СНГ<br /><br>- постоянно проходят акции ( постоянные скидки до 80%) .<br /><br>Наша аудитория - это женщины от 25 до 50 лет с достатком выше среднего.<br /><p>Вознаграждение за подтвержденный и оплаченный заказ.<br /><p>Холд заказов - 20 дней.<br /><p>Гео - РФ.<br /><p>Запрещенные источники трафика - порно, спам-рассылки, мотивированный трафик.";"2013-09-03"
"Gigantik.com.ua - заказ в интернет-магазине мягких игрушек";"Финансы";"<b>Интернет-магазин gigantik.com.ua</b> - широкий выбор мягких игрушек.<br /><p>Вознаграждение за подтвержденный и оплаченный заказ.<br /><p>Холд заказов - 7 дней<br /><p>Гео - Украина<br /><p>Запрещенные источники трафика - порно, спам-рассылки, мотивированный трафик, контекст на бренд, попап и кликандер.<br /><p>Регулярно обновляются и добавляются рекламные материалы.";"2013-09-03"
"GrenCat - заказ в интернет-магазине мягких игрушек";"Интернет магазины";"Почему стоит купить большого плюшевого медведя?<br /><p>1. Сделав такой подарок, Вы можете на 100% быть уверены, что ваш близкий человек будет восхищен и рад такому подарку.<br /><p>2. Мишку можно подарить как без повода, так и поздравить с праздником, девочка в любом возрасте будет рада мягкой игрушке)<br /><p>3. Большой медведь останется надолго и будет всегда напомнить близкому человеку о Вас, даже когда Вы далеко.<br /><p>4. А комната, в которой есть большой мишка становится приятней и уютнее<br /><p>Мы специально отобрали самые лучшие модели мишек, чтобы Вы не тратили время на поиск.<br />Предлагаем вам только мишек отечественного производителя, изготовленных из безвредных материалов.<br /><p><br /><p>Вознаграждение за подтвержденный и оплаченный заказ<br /><p>Гео - Украина<br /><p>Холд заказа - 10 дней<br /><p> Запрещены спам-рассылки и мотивированный трафик.";"2013-09-03"
"GRIPHONE - заказ iPhone Gold Edition 24K";"Интернет магазины";"<b>GRIPHONE</b> - это коллекция роскошных телефонов из золота и серебра.<br /><br>Это потрясающий аксессуар, достойный подарок и неотъемлимая часть вашего имиджа.</br><br /><p>Акция! Закажи телефон от 16000 грн. и получи гравировку в подарок.<br /><p>Вознаграждение за подтвержденный запрос обратного звонка и предварительный заказ.<br /><p>Холд конверсий - 5 дней.<br /><p>География - Украина.<br /><p>Запрещенные источники трафика - порно, спам-рассылки, мотивированный.";"2013-09-03"
"Gurmaniac - заказ в интернет-магазине посуды";"Страхование";"Оплачивается подтвержденный заказ. 8% от суммы подтвержденного заказа.<br />Пользователи получают на этапе оформления скидку от 1%. На каждую вторую покупку скидка 5%";"2013-09-03"
"Happy Baby - интернет-магазин детских автокресел и колясок (UA)";"Финансы";"<b>Happy Baby</b> - интернет-магазин детских автомобильных кресел и колясок.<br /><p> При приобретении любых двух товаров покупатель гарантированно получает дополнительную скидку 30 грн. на каждый заказанный товар.<br /><p> После регистрации на сайте, скидка 30 грн. будет закреплена за постоянным клиентом навсегда.<br /><p> При приобретении любых трёх и более товаров автоматически начисляется скидка на каждый из товаров 50 грн.<br /><p>Вознаграждение за подтвержденный и оплаченный заказ - <b>40грн (160руб).</b><br /><p><b>Гео</b> - Украина<br /><p><b>Холд заказа</b> - 10 дней.<br /><p><b>Запрещенные источники трафика</b> - спам-рассылки, порно, мотивированный трафик.";"2013-09-03"
"HelpMoney - заявка на кредит под залог авто";"Инфо-товары";"Принимаются заявка на кредит под залог авто. Регион - Киев. Корректно заполненная заявка должна содержать данные про объект залога и данные потенциального заемщика (имя и телефон). Если Вы хотите работать с оплатой не только заявок, но и звонков - обращайтесь в службу поддержки. Мы предоставим уникальный номер телефона для учета звонков (подключение может занять несколько дней)";"2013-09-03"
"HelpMoney - заявка на кредит под залог недвижимости";"Интернет магазины";"Принимаются заявка на кредит под залог недвижимость. Регион - Киев. Корректно заполненная заявка должна содержать данные про объект залога и данные потенциального заемщика (имя и телефон).<br />Если Вы хотите работать с оплатой не только заявок, но и звонков - обращайтесь в службу поддержки. Мы предоставим уникальный номер телефона для учета звонков (подключение может занять несколько дней)";"2013-09-03"
"Hot Wheels - заказ в интернет-магазине игрушек(треков)";"Игры";"Вознаграждение за подтвержденный и оплаченный заказ.";"2013-09-03"
"I-drink.com.ua - заказ в интернет-магазине алкоголя";"Интернет магазины";"Вознаграждение за оплаченный заказ.<br /><p>Выплата - 60 грн. (243 рубля).";"2013-09-03"
"Ingo - заявка на Мини-КАСКО";"Интернет магазины";"Вознаграждение за корректную заявку на Мини-КАСКО. <br />В тарифе не принимают участия автомобили китайского, частично корейского производства, ЗАЗ, некоторые модели Lada, а также автомобили, стоимостью более 90000$.<br />Холд - 30 дней.";"2013-09-03"
"Interial - Система финансовой помощи ";"Интернет магазины";"<p><strong>Целевая аудитория:</strong><br />Пол - м, ж. Возраст от 21 до 50. Место жительства не имеет значения. Социальный статус не имеет значения. Образование не имеет значения. Род занятий не имеет значения. Уровень дохода - 75% ниже среднего, 25% средний. Образ жизни не имеет значения. Поведенческие привычки - поиск работы через интернет, поиск возможности пассивного дохода, изучение финансового сектора, изучение бизнесаufffd<br /><strong>ufffdГеография: н</strong>е имеет значения<br /><br />Разрешенные виды трафика:ufffd<br />PopUp форматы<br />Дорвей-трафик<br />Email-рассылки<br />Трафик с публичных страниц/групп/сообществ в соц.сетях<br />ClickUnder<br />Таргетированные объявления с соц.сетей<br />Трафик из приложений/игр в соц.сетях<br />Тизерные сети<br />SMS-рассылки<br />Push реклама<br />Toolbar реклама<br />Баннерная реклама<br />Мотивированный трафик - не используем<br />Мотивированный трафик (Cash) - не используем<br />Adult - трафик - не используем.</p>";"2013-09-03"
"IXI.UA";"Интернет магазины";"% от продаж";"2013-09-03"
"Journals.ua - покупка и чтение журналов on-line";"Интернет магазины";"Вознаграждение за покупку журналов.";"2013-09-03"
"KamaShastra - простынь-камасутра";"Обучение";"Вознаграждение за заказ на сайте www.kamashastra.com.ua";"2013-09-03"
"KAROS - регистрация в online mmorpg игре";"Юрид. и бух. услуги ";"Вселенная Karos u2013 новая бесплатная MMORPG о героических путешествиях в восхитительно оформленном, самобытном мире Азмара.<br />Это удивительная история о четырех расах, ведущих борьбу со злом, пришедшим в мир, и их нелегких судьбах полных приключений и красочных незабываемых событий.<br /><br />DRAGONA - многопользовательская ролевая онлайн-игра, в которой игрокам предстоит сражаться друг с другом, управляя воинами-драгонами, u2014 это воинами, наделенные силой драконов, имеющие безграничные возможности.<br /><br /><br /><p><b>Выплата: </b>за активного игрока <b>70 грн.(280 руб.)</b><br /><br /><p><b>Холд: </b>до 30 дней<br><br /><p><b>Запрещенные источники трафика: </b> контекстная реклама, соц.сети (группы/паблики), мотивированный.<br /><p><b>Гео: </b>СНГ<br>";"2013-09-03"
"Kindo.com.ua - заказ в интернет-магазине детских товаров";"Интернет магазины";"<b>Киндо</b> - магазин красивой одежды для детей от рождения до 12 лет. У нас представлены самые качественные украинские, европейские и американские бренды. Вся одежда оригинальная и сертифицирована.<br /><p><b>Конкурентные преимущества и особенности:</b> <br /><p>u2022качественная одежда от известных брендов (Carter's, Girandola, Mone, Bebetto);<br /><p>u2022хороший контент (большие качественные фотографии, полная информация о товаре: состав ткани, описание, замеры);<br /><p>u2022большая часть товара есть в наличии на собственном складе;<br /><p>u2022бесплатная доставка при заказе от 300 гривен; <br /><p>u2022возможность заказа нескольких размеров на выбор (только для Киева);<br /><p>u2022различные методы оплаты заказа - наличными, картами Visa, Mastercard или ПриватБанка, банковский счет, наложенный платёж;<br /><p>u2022высокая выполняемость заказов и почти полное отсутствие возвратов;<br /><p>u2022возможность покупки товара в рассрочку;<br /><p>u2022большое количество позитивных отзывов о работе магазина (все реальные);<br /><p>u2022бонусная программа для постоянных покупателей<br /><p>u2022весь представленный товар сертифицирован<br /><p>u2022собственная курьерская служба<br /><p>u2022еженедельное пополнение  ассортимента <br /><p><br /><p><b>Преимущества партнерской программы:</b><br /><p>u2022магазин отличается своей лояльностью и сервисом;<br /><p>u2022развиваем направление собственного импорта<br /><p>u2022высокая конверсия сайта<br /><p>u2022наличие категорий с очень высоким средним чеком (крещение)<br /><p>u2022повышение среднего чека благодаря системе кросс-продаж<br /><p><br /><p>Вознаграждение за подтвержденный и оплаченный заказ.<br /><p><b>Гео - Украина</b><br /><p><b>Холд - 20 дней<br /><p><br />Запрещенные источники трафика:<br />спам, порно, мотивированный трафик, контекст в поиске и соцсетях.<br />Проверка источников трафика по требованию.</p>";"2013-09-03"
"Knopus.com.ua - заказ в детском интернет-магазине (UA)";"Инет-магазины одежды,косметики";"<p>Интернет-магазин детской одежды Кнопус - это всегда больше, чем Вы ожидали.</p><br /><p>Доставка бесплатная, независимо от суммы заказа, во все города Украины.<br>Удобный и беспроблемный возврат на протяжении 30 дней - если детская одежда, которую Вы купили не подошла Вам по размеру или не понравился цвет или фактура ткани, просто перезвоните нам и мы вернем Вам деньги в течении 3-х рабочих дней.</p><br /><p>Несколько вариантов оплаты - интернет-магазин Кнопус, пожалуй, единственный интернет-магазин детской одежды, в котором оплату можно совершить с помощью кредитной карты, не выходя из дома.<br><br /><br /><p><b>Оплата</b> производится за подтвержденный и оплаченный заказ товара - 3,5%; за подписку на рассылку - 5,5грн (22руб) <br /><em><strong>Целевая аудитория:</strong></em><br />Беременные, мамы с детьми 0-1год, <br /><strong><em>Гео</em></strong> - Украина</p><br /><p><b>Запрещенный трафик</b> Емейл рассылки, popup, мотивированный. ";"2013-09-03"
"Kokoss.com.ua - заказ кедов Converse в интернет-магазине обуви";"Инет-магазины одежды,косметики";"<p>Американская компания Converse, производящая обувь с начала 20 века, и наиболее известна своими кедами Chuck Taylor All-Stars.<br /><p>Владельцами конверсов за всю историю их существования были именитые спортсмены и представители молодежных субкультур, голливудские звезды и обычные студенты, дети и старики, радикальная молодежь и влиятельные миллионеры. <br /><p>Converse - марка с более чем вековой историей, это обувь индивидуальности и свободы, которая давно вышла за рамки просто спортивных кед. Обувь актуальная всегда - вне времени, возраста и жизненных приоритетов.<br /><p>Присоединяйся к жизни в стиле Converse!<br /><p><br /><p>Гео - Украина.<br /><p><br />Оплачивается подтвержденный заказ обуви с корректно заполненными обязательными полями - Имя, адрес электронной почты контактный телефон.";"2013-09-03"
